,CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Street,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source,Media URL,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Current Police Districts,DELETE - Zip Codes,DELETE - Police Districts,DELETE - Neighborhoods,DELETE - Neighborhoods_from_fyvs_ahh9,DELETE - 2017 Fix It Zones,DELETE - SF Find Neighborhoods,Civic Center Harm Reduction Project Boundary,DELETE - Current Supervisor Districts,Fix It Zones as of 2017-11-06 ,Invest In Neighborhoods (IIN) Areas,DELETE - HSOC Zones,Fix It Zones as of 2018-02-07,"CBD, BID and GBD Boundaries as of 2017",Central Market/Tenderloin Boundary,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary Polygon - Updated,HSOC Zones as of 2018-06-05,OWED Public Spaces,Parks Alliance CPSI (27+TL sites),Neighborhoods
897472,3459749,03/16/2014 03:40:27 PM,03/20/2014 09:26:22 AM,03/20/2014 09:26:22 AM,Closed,Case Resolved -  jam removed.,DPT Meter_Bike Queue,Damaged Property,Damaged Parking_Meter,Parking_Meter,"606 CLEMENT ST, SAN FRANCISCO, CA, 94118",CLEMENT ST,1.0,Inner Richmond,RICHMOND,37.782942303663,-122.465591929403,"(37.7829423, -122.46559193)",Phone,,5.0,8.0,4.0,11.0,2.0,11.0,9.0,54.0,6.0,11.0,11.0,,5.0,,4.0,,,,,,,1.0,,,,,5.0
4058930,13378000,01/16/2021 10:56:00 PM,01/16/2021 11:00:33 PM,01/16/2021 11:00:33 PM,Closed,Case Resolved - Police Officer responded to request under CAD # 210163277.  Issue reported could not be validated.,Parking Enforcement Dispatch Queue,Parking Enforcement,Other_Illegal_Parking,Black - Mercedes - Covered,"535 FOLSOM ST, SAN FRANCISCO, CA, 94105",FOLSOM ST,6.0,Rincon Hill,SOUTHERN,37.78636838,-122.39529468,"(37.78636838, -122.39529468)",Mobile/Open311,,30.0,1.0,10.0,8.0,9.0,6.0,2.0,28855.0,2.0,6.0,6.0,,30.0,,10.0,,,,,3.0,,1.0,,,,,30.0
687482,15282101,05/02/2022 08:02:00 AM,05/02/2022 08:54:08 AM,05/02/2022 08:54:08 AM,Closed,Case Resolved - Officer responded to request under CAD # 221220595.  Citation was issued.,Parking Enforcement Dispatch Queue,Parking Enforcement,Blocking_Driveway_Cite_Tow,Silver - Nissan Altima - 7RQU893,"171 MAYNARD ST, SAN FRANCISCO, CA, 94112",MAYNARD ST,11.0,Mission Terrace,INGLESIDE,37.7295282,-122.4266535,"(37.7295282, -122.4266535)",Web,,94.0,9.0,1.0,7.0,6.0,9.0,4.0,28861.0,7.0,5.0,5.0,16.0,94.0,,1.0,,,,,,,2.0,,,,,94.0
4995926,15268588,04/28/2022 06:42:00 AM,04/28/2022 12:29:42 PM,04/28/2022 12:29:42 PM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Mattress,"301 ORIZABA AVE, SAN FRANCISCO, CA, 94132",ORIZABA AVE,11.0,Merced Heights,TARAVAL,37.71445078,-122.46283606,"(37.71445078, -122.46283606)",Mobile/Open311,,65.0,10.0,1.0,24.0,6.0,9.0,5.0,64.0,8.0,24.0,24.0,,65.0,,1.0,,2.0,,,,,2.0,,,,,65.0
1729570,4893044,07/08/2015 04:28:44 PM,07/08/2015 04:39:13 PM,07/08/2015 04:39:13 PM,Closed,Case is a Duplicate,PUC - Water - G,Sewer Issues,Water_leak,Other,"1750 SACRAMENTO ST, SAN FRANCISCO, CA, 94109",SACRAMENTO ST,3.0,Polk Gulch,NORTHERN,37.791497022421,-122.421719296451,"(37.79149702, -122.4217193)",Phone,,105.0,4.0,3.0,21.0,10.0,13.0,6.0,28858.0,9.0,21.0,21.0,,105.0,,3.0,,,,,,,1.0,,,,,105.0
3964770,9972507,12/24/2018 12:26:47 PM,01/13/2019 02:35:14 PM,01/13/2019 02:35:14 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of HAWES ST and SHAFTER AVE,HAWES ST,10.0,Hunters Point,BAYVIEW,37.726887417992,-122.383150057981,"(37.72688742, -122.38315006)",Mobile/Open311,http://mobile311.sfgov.org/reports/9972507/photos,78.0,2.0,9.0,1.0,8.0,10.0,3.0,58.0,3.0,1.0,1.0,,78.0,,9.0,,,,,,,2.0,,,,,78.0
973,6498275,11/04/2016 11:30:37 PM,11/09/2016 02:00:03 PM,11/09/2016 02:00:03 PM,Closed,Case Transferred,MUNI Work Queue,MUNI Feedback,MUNI - Conduct_Inattentiveness_Negligence,207_Refused_to_Kneel_Bus_Lower_Steps,Intersection of GENEVA AVE and HOWTH ST,GENEVA AVE,11.0,Oceanview,TARAVAL,37.72208404541,-122.450119018555,"(37.72208405, -122.45011902)",Phone,,81.0,10.0,8.0,24.0,4.0,9.0,5.0,28861.0,8.0,24.0,24.0,,81.0,,8.0,,,,,,,2.0,,,,,81.0
226168,544934,11/14/2009 01:00:40 PM,12/10/2009 10:57:53 AM,12/10/2009 10:57:53 AM,Closed,See Notes tab for more details,PUC Sewer Ops,Sewer Issues,Sewage_Back_Up,Outofsewervent4inch,"2700 24TH ST, SAN FRANCISCO, CA, 94110",24TH ST,9.0,Mission,MISSION,37.75325012207,-122.406700134277,"(37.75325012, -122.40670013)",Phone,,53.0,3.0,2.0,20.0,7.0,10.0,7.0,28859.0,4.0,19.0,19.0,,53.0,,2.0,,10.0,3.0,,,,1.0,,3.0,,,53.0
4532378,12198412,03/10/2020 01:13:00 PM,03/10/2020 03:46:22 PM,03/10/2020 03:46:22 PM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,Encampments,Encampment items,Cart Pickup,Intersection of LYON ST and HAYES ST,LYON ST,5.0,Panhandle,PARK,37.774356842041,-122.442756652832,"(37.77435684, -122.44275665)",Phone,,24.0,7.0,11.0,18.0,11.0,15.0,8.0,29492.0,5.0,16.0,16.0,,24.0,,11.0,,,,,,,1.0,,,,,24.0
3113927,11664206,11/08/2019 03:07:00 PM,11/08/2019 03:36:21 PM,11/08/2019 03:36:21 PM,Closed,Case Resolved - Pickup completed.,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,Intersection of 17TH ST and CASTRO ST,17TH ST,8.0,Castro,MISSION,37.762672424316,-122.435188293457,"(37.76267242, -122.43518829)",Phone,,113.0,3.0,5.0,5.0,5.0,15.0,7.0,28862.0,4.0,3.0,3.0,1.0,113.0,,5.0,1.0,,5.0,1.0,9.0,,1.0,,5.0,,,113.0
4442724,12461731,05/27/2020 10:32:00 AM,05/27/2020 02:53:07 PM,05/27/2020 02:53:07 PM,Closed,Case Resolved,DPW - Bureau of Street Environmental Services - G,General Request - PUBLIC WORKS,request_for_service,bsm - request_for_service,"1805 GEARY BLVD, SAN FRANCISCO, CA, 94115",GEARY BLVD,5.0,Japantown,NORTHERN,37.784356945815,-122.431271829387,"(37.78435695, -122.43127183)",Mobile/Open311,http://mobile311.sfgov.org/reports/12461731/photos,101.0,4.0,11.0,39.0,11.0,13.0,6.0,29490.0,9.0,41.0,41.0,8.0,101.0,,11.0,9.0,,,9.0,,,2.0,,,,,101.0
960828,3048382,11/10/2013 10:06:03 AM,11/10/2013 12:02:22 PM,11/10/2013 12:02:22 PM,Closed,Case Completed - resolved: Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of POST ST and SHANNON ST,POST ST,3.0,Lower Nob Hill,CENTRAL,37.78776550293,-122.412528991699,"(37.7877655, -122.41252899)",Phone,,50.0,6.0,3.0,36.0,10.0,5.0,1.0,28852.0,1.0,36.0,36.0,,50.0,,3.0,,,,,,,2.0,,,,,50.0
1082442,2282838,04/24/2013 10:57:07 AM,05/28/2013 06:04:22 PM,05/28/2013 06:04:22 PM,Closed,Case Resolved,Housing Authority SR Queue,SFHA Requests,Steam Fitter,Steam Fitter - Urgent,"1880 PINE ST, Apt 601, SAN FRANCISCO, CA, 94109",PINE ST,2.0,Pacific Heights,NORTHERN,37.789100646973,-122.427001953125,"(37.78910065, -122.42700195)",Phone,,102.0,4.0,6.0,30.0,1.0,13.0,6.0,28858.0,9.0,27.0,27.0,,102.0,,6.0,,,,,,,1.0,,,,,102.0
5213375,13643287,03/28/2021 08:32:00 AM,03/29/2021 10:35:00 AM,03/29/2021 10:35:00 AM,Closed,"Case closed, Complaint Noted",SFMTA - Scooter Queue,General Request - MTA,request_for_service,scooters - request_for_service,"1221 7TH AVE, SAN FRANCISCO, CA, 94122",7TH AVE,7.0,Inner Sunset,PARK,37.765506744385,-122.464447021484,"(37.76550674, -122.46444702)",Phone,,109.0,10.0,11.0,14.0,11.0,11.0,5.0,56.0,8.0,12.0,12.0,,109.0,,11.0,,,,,,,1.0,,,,,109.0
3130618,11604082,10/26/2019 09:08:00 AM,10/26/2019 10:26:00 AM,10/26/2019 10:26:00 AM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"11 LELAND AVE, SAN FRANCISCO, CA, 94134",LELAND AVE,10.0,Visitacion Valley,INGLESIDE,37.711197845051,-122.403924706376,"(37.71119785, -122.40392471)",Mobile/Open311,,75.0,9.0,9.0,40.0,8.0,9.0,4.0,309.0,7.0,39.0,39.0,,75.0,,9.0,,,,,,,2.0,,,,,75.0
3000669,13640628,03/27/2021 09:08:00 AM,03/29/2021 02:19:00 PM,03/29/2021 02:19:00 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,Medical Waste,Needles,Intersection of LEAVENWORTH ST and POST ST,LEAVENWORTH ST,3.0,Lower Nob Hill,CENTRAL,37.78746667,-122.414925,"(37.78746667, -122.414925)",Mobile/Open311,http://mobile311.sfgov.org/reports/13640628/photos,50.0,6.0,3.0,21.0,10.0,5.0,1.0,28858.0,1.0,21.0,21.0,,50.0,,3.0,,,,,,,2.0,,,,,50.0
2768693,14274025,08/30/2021 03:32:00 PM,08/31/2021 07:11:00 PM,08/31/2021 07:11:00 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,"1445 SUTTER ST, SAN FRANCISCO, CA, 94109",SUTTER ST,2.0,Cathedral Hill,NORTHERN,37.787247806025,-122.424050831103,"(37.78724781, -122.42405083)",Mobile/Open311,http://mobile311.sfgov.org/reports/14274025/photos,100.0,4.0,6.0,39.0,1.0,13.0,6.0,28858.0,9.0,41.0,41.0,,100.0,,6.0,,,,,,,1.0,,,,,100.0
753802,4026971,09/18/2014 10:57:17 PM,09/29/2014 10:11:40 AM,09/29/2014 10:11:40 AM,Closed,Case Transferred - PSR 461124,MUNI Work Queue,MUNI Feedback,MUNI - Services_Service_Delivery_Facilities,611_Signs_Maps_and_Auto_Announcements,Intersection of DIVISADERO ST and HAIGHT ST,DIVISADERO ST,5.0,Buena Vista,NORTHERN,37.771266937256,-122.437042236328,"(37.77126694, -122.43704224)",Phone,,,4.0,11.0,3.0,11.0,15.0,8.0,29492.0,5.0,9.0,9.0,,,,11.0,,,,,,,1.0,,,,,
4472472,12389710,05/05/2020 12:39:00 PM,06/11/2020 11:30:37 PM,06/11/2020 11:30:37 PM,Closed,Administrative Closure - Administrative closure due to COVID-19 directed changes in encampment response. See http://hsh.sfgov.org/updates/. Please re-submit if problem continues.,Duplicate Case Hold Queue,Encampments,Encampment Reports,Encampment Cleanup,"1198 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94110",SOUTH VAN NESS AVE,9.0,Mission,MISSION,37.754100654411,-122.416523844225,"(37.75410065, -122.41652384)",Mobile/Open311,http://mobile311.sfgov.org/reports/12389710/photos,53.0,3.0,2.0,20.0,7.0,2.0,7.0,28859.0,4.0,19.0,19.0,,53.0,,2.0,,,3.0,,,,2.0,,3.0,,,53.0
2454232,7233318,06/07/2017 08:47:27 AM,08/09/2017 03:14:34 PM,08/09/2017 03:14:34 PM,Closed,Case Transferred - Follow up with MCS if desired.,MUNI Work Queue,MUNI Feedback,MUNI - Services_Service_Planning,701_Insufficient_Frequency,Intersection of MAIN ST and HOWARD ST,MAIN ST,6.0,Financial District,SOUTHERN,37.79061126709,-122.393409729004,"(37.79061127, -122.39340973)",Phone,,108.0,1.0,10.0,8.0,9.0,6.0,2.0,28855.0,2.0,6.0,6.0,,108.0,,10.0,,,,,3.0,,1.0,,,,,108.0
2673348,8737640,03/13/2018 07:30:00 AM,03/13/2018 08:21:00 AM,03/13/2018 08:21:00 AM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of GEARY BLVD and 29TH AVE,GEARY BLVD,1.0,Outer Richmond,RICHMOND,37.779891967773,-122.489013671875,"(37.77989197, -122.48901367)",Phone,,8.0,8.0,4.0,29.0,2.0,11.0,9.0,55.0,6.0,26.0,26.0,,8.0,,4.0,,,,,,,2.0,,,,,8.0
938527,3201165,12/25/2013 11:04:13 AM,12/25/2013 01:54:16 PM,12/25/2013 01:54:16 PM,Closed,Case Completed - resolved: WASTE NOT FOUND,Recology_Abandoned,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"359 TOCOLOMA AVE, SAN FRANCISCO, CA, 94134",TOCOLOMA AVE,10.0,Little Hollywood,BAYVIEW,37.710380341101,-122.398184929133,"(37.71038034, -122.39818493)",Mobile/Open311,,89.0,2.0,9.0,1.0,8.0,10.0,3.0,309.0,3.0,1.0,1.0,,89.0,,9.0,,,,,,,1.0,,,,,89.0
2236356,8385068,12/14/2017 12:56:00 AM,12/15/2017 06:00:23 AM,12/15/2017 06:00:23 AM,Closed,Accepted - Noise informational reports are closed and summarized for department use.,Noise Report Queue,Noise Report,other_reallocate,Noise Report - other_reallocate,"400 CASTRO ST, SAN FRANCISCO, CA, 94114",CASTRO ST,8.0,Castro,MISSION,37.7622448,-122.4354318,"(37.7622448, -122.4354318)",Web,,38.0,3.0,5.0,5.0,5.0,15.0,7.0,28862.0,4.0,3.0,3.0,1.0,38.0,,5.0,1.0,12.0,5.0,1.0,9.0,,1.0,,5.0,,,38.0
3951815,10350628,01/13/2019 08:42:00 AM,01/13/2019 10:18:00 AM,01/13/2019 10:18:00 AM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"2818 SAN JOSE AVE, SAN FRANCISCO, CA, 94112",SAN JOSE AVE,11.0,Oceanview,TARAVAL,37.712712,-122.454384,"(37.712712, -122.454384)",Mobile/Open311,http://mobile311.sfgov.org/reports/10350628/photos,81.0,10.0,1.0,24.0,6.0,9.0,5.0,28861.0,8.0,24.0,24.0,,81.0,,1.0,,,,,,,2.0,,,,,81.0
1147534,1874851,01/09/2013 02:23:25 PM,01/14/2013 12:52:08 PM,01/14/2013 12:52:08 PM,Closed,DPT Abandoned Vehicles - Gone on Arrival - 1-14-13 @  1054 HRS #  G84 ALL THREE VEHICLES,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Other,various - GMC - Multiple motorhomes and vehics - ??????,"660 CLARENDON AVE, SAN FRANCISCO, CA, 94131",CLARENDON AVE,7.0,Forest Knolls,PARK,37.752384185791,-122.459007263184,"(37.75238419, -122.45900726)",Web,,111.0,7.0,8.0,14.0,4.0,1.0,8.0,63.0,5.0,12.0,12.0,,111.0,,8.0,,,,,,,1.0,,,,,111.0
3814566,926617,07/24/2011 09:53:24 PM,11/24/2011 04:32:27 AM,11/24/2011 04:32:27 AM,Closed,See Notes tab for more details,DPW BSM Queue,Sidewalk or Curb,Sidewalk_Defect,Lifted_sidewalk_tree_roots,"630 GRAND VIEW AVE, SAN FRANCISCO, CA, 94114",GRAND VIEW AVE,8.0,Upper Market,MISSION,37.750049591064,-122.44278717041,"(37.75004959, -122.44278717)",Web,,51.0,3.0,5.0,22.0,5.0,2.0,7.0,28862.0,4.0,22.0,22.0,,51.0,,5.0,,,,,,,1.0,,,,,51.0
2588567,6814685,02/07/2017 08:58:39 AM,02/10/2017 12:15:16 PM,02/10/2017 12:15:16 PM,Closed,Case Resolved,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Hanging_limb,"1317 3RD AVE, SAN FRANCISCO, CA, 94122",3RD AVE,5.0,Inner Sunset,PARK,37.764031918698,-122.460008510628,"(37.76403192, -122.46000851)",Phone,,109.0,7.0,11.0,14.0,11.0,15.0,8.0,56.0,5.0,12.0,12.0,,109.0,,11.0,,,,,,,1.0,,,,,109.0
2660133,3668570,05/22/2014 04:18:33 PM,11/21/2017 04:30:23 PM,11/21/2017 04:30:23 PM,Closed,Case Resolved - Work Completed,Housing Authority SR Queue,SFHA Requests,Carpentery,Carpentery - Urgent,"1750 MCALLISTER ST, Apt 901, SAN FRANCISCO, CA, 94115",MCALLISTER ST,5.0,Western Addition,PARK,37.777801513672,-122.44100189209,"(37.77780151, -122.44100189)",Phone,,97.0,7.0,11.0,39.0,11.0,15.0,8.0,29490.0,5.0,41.0,41.0,,97.0,,11.0,,,,,,,1.0,,,,,97.0
5221925,1387280,09/06/2012 05:02:04 AM,09/07/2012 01:19:57 PM,09/07/2012 01:19:57 PM,Closed,Case Completed - resolved:,DPW Ops Queue,Street and Sidewalk Cleaning,Bulky Items,Furniture,Intersection of ROUSSEAU ST and STILL ST,ROUSSEAU ST,11.0,Mission Terrace,INGLESIDE,37.731868743896,-122.429954528809,"(37.73186874, -122.42995453)",Web,,94.0,9.0,5.0,28.0,5.0,9.0,4.0,28861.0,7.0,25.0,25.0,,94.0,,5.0,,,,,,,1.0,,,,,94.0
845618,3628629,05/09/2014 07:02:26 PM,05/10/2014 11:17:44 AM,05/10/2014 11:17:44 AM,Closed,Case Completed - resolved: Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,"447 BURNETT AVE, SAN FRANCISCO, CA, 94131",BURNETT AVE,8.0,Upper Market,PARK,37.754113765563,-122.44402237222,"(37.75411377, -122.44402237)",Phone,,51.0,7.0,5.0,38.0,5.0,2.0,8.0,63.0,5.0,38.0,38.0,,51.0,,5.0,,,,,,,1.0,,,,,51.0
3873020,856732,04/05/2011 07:42:15 PM,11/16/2011 08:03:15 AM,11/16/2011 08:03:15 AM,Closed,Case Resolved - Older cases closed by 311 and authorized by MTA.,DPT Signal Queue,Damaged Property,Damaged Traffic_Signal,Traffic_Signal,Intersection of SUTTER ST and VAN NESS AVE,SUTTER ST,3.0,Lower Nob Hill,NORTHERN,37.787548065186,-122.421760559082,"(37.78754807, -122.42176056)",Phone,,100.0,4.0,6.0,39.0,1.0,13.0,6.0,28858.0,9.0,41.0,41.0,,100.0,,6.0,,,,,10.0,,1.0,,,,,100.0
872183,3530651,04/08/2014 08:14:31 AM,04/10/2014 04:23:51 PM,04/10/2014 04:23:51 PM,Closed,Case Transferred - to psr # 451826,SSP - MTA Feedback Queue,MUNI Feedback,MUNI  - Conduct_Discourteous_Insensitive_Inappropriate_Conduct,301_Discourtesy_to_Customer,Not associated with a specific address,,,,,0.0,0.0,"(0.0, 0.0)",Web,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2379803,7472793,08/07/2017 02:58:52 PM,08/07/2017 06:15:06 PM,08/07/2017 06:15:06 PM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,Intersection of BARNEVELD AVE and SWEENY ST,BARNEVELD AVE,9.0,Portola,BAYVIEW,37.733158921685,-122.407285459615,"(37.73315892, -122.40728546)",Phone,,91.0,2.0,2.0,25.0,7.0,10.0,3.0,309.0,3.0,28.0,28.0,,91.0,,2.0,,,,,,,2.0,,,,,91.0
3474828,10641986,03/25/2019 07:46:35 AM,03/25/2019 01:06:06 PM,03/25/2019 01:06:06 PM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,"805 HAYES ST, SAN FRANCISCO, CA, 94117",HAYES ST,5.0,Hayes Valley,NORTHERN,37.775983,-122.42967,"(37.775983, -122.42967)",Mobile/Open311,http://mobile311.sfgov.org/reports/10641986/photos,22.0,4.0,11.0,9.0,11.0,7.0,6.0,29492.0,9.0,10.0,10.0,,22.0,,11.0,,,,,,,1.0,,,,,22.0
2030413,9110622,06/08/2018 10:19:00 AM,06/11/2018 02:42:00 PM,06/11/2018 02:42:00 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"10 BRADY ST, SAN FRANCISCO, CA, 94103",BRADY ST,6.0,South of Market,SOUTHERN,37.773322868196,-122.421057466532,"(37.77332287, -122.42105747)",Mobile/Open311,http://mobile311.sfgov.org/reports/9110622/photos,32.0,1.0,10.0,20.0,9.0,8.0,2.0,28853.0,2.0,19.0,19.0,,32.0,1.0,10.0,,,1.0,,,1.0,2.0,1.0,1.0,,,32.0
4381642,12612956,07/05/2020 02:55:52 AM,07/05/2020 10:48:11 AM,07/05/2020 10:48:11 AM,Closed,Resolved,Entertainment Commission - G,Noise Report,entertainment,Noise Report - entertainment,"579 38TH AVE, SAN FRANCISCO, CA, 94121",38TH AVE,1.0,Outer Richmond,RICHMOND,37.777940584382,-122.498861812169,"(37.77794058, -122.49886181)",Mobile/Open311,,8.0,8.0,4.0,29.0,2.0,11.0,9.0,55.0,6.0,26.0,26.0,,8.0,,4.0,,,,,,,1.0,,,,,8.0
55343,6329116,09/19/2016 10:02:03 PM,09/23/2016 08:46:52 AM,09/23/2016 08:46:52 AM,Closed,DPT Abandoned Vehicles- Gone on Arrival - 09/22/16  @1345       #85,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicles,DPT Abandoned Vehicles Low,"476 41ST AVE, SAN FRANCISCO, CA, 94121",41ST AVE,1.0,Outer Richmond,RICHMOND,37.779757530534,-122.501846050012,"(37.77975753, -122.50184605)",Mobile/Open311,,8.0,8.0,4.0,29.0,2.0,11.0,9.0,55.0,6.0,26.0,26.0,,8.0,,4.0,,,,,,,1.0,,,,,8.0
2274555,8220868,11/02/2017 09:40:00 PM,11/02/2017 09:41:00 PM,11/02/2017 09:41:00 PM,Closed,Case is a Duplicate,PUC - Water - G,General Request - PUC,request_for_service,water - request_for_service,Not associated with a specific address,,,,,0.0,0.0,"(0.0, 0.0)",Web,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208073,15545791,07/08/2022 09:13:00 AM,07/09/2022 11:19:00 AM,07/09/2022 11:19:00 AM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,"1450 HAWES ST, SAN FRANCISCO, CA, 94124",HAWES ST,10.0,Hunters Point,BAYVIEW,37.727059127995,-122.383049345811,"(37.72705913, -122.38304935)",Mobile/Open311,http://mobile311.sfgov.org/reports/15545791/photos,78.0,2.0,9.0,1.0,8.0,10.0,3.0,58.0,3.0,1.0,1.0,,78.0,,9.0,,,,,,,2.0,,,,,78.0
677766,15277062,04/30/2022 10:21:00 AM,05/01/2022 12:05:18 PM,05/01/2022 12:05:18 PM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,Litter Receptacles,Toters_left_out_24x7,,"398 CLEMENTINA ST, SAN FRANCISCO, CA, 94103",CLEMENTINA ST,6.0,South of Market,SOUTHERN,37.7815104,-122.4032424,"(37.7815104, -122.4032424)",Mobile/Open311,http://mobile311.sfgov.org/reports/15277062/photos,32.0,1.0,10.0,34.0,9.0,6.0,2.0,28853.0,2.0,34.0,34.0,,32.0,,10.0,,,,,4.0,,2.0,,,,,32.0
75847,6273572,09/04/2016 08:44:45 AM,09/04/2016 10:22:17 AM,09/04/2016 10:22:17 AM,Closed,"Case Resolved - City cans serviced, area around Cans cleaned.",Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"1 TELEGRAPH HILL BLVD, SAN FRANCISCO, CA, 94133",TELEGRAPH HILL BLVD,3.0,Telegraph Hill,CENTRAL,37.803020998871,-122.406128877888,"(37.803021, -122.40612888)",Mobile/Open311,http://mobile311.sfgov.org/reports/6273572/photos,18.0,6.0,3.0,23.0,10.0,3.0,1.0,308.0,1.0,23.0,23.0,21.0,18.0,,3.0,23.0,,,23.0,,,1.0,,,,,18.0
3952315,10320502,01/05/2019 06:36:00 PM,01/05/2019 07:22:51 PM,01/05/2019 07:22:51 PM,Closed,Case Resolved - Officer responded to request under CAD # 190052673.  Citation was issued.,Parking Enforcement Dispatch Queue,Parking Enforcement,Blocking_Driveway_Cite_Only,white - tesla - 7xhh146,"527 12TH AVE, SAN FRANCISCO, CA, 94118",12TH AVE,1.0,Inner Richmond,RICHMOND,37.7782505,-122.4707176,"(37.7782505, -122.4707176)",Web,,5.0,8.0,4.0,11.0,2.0,11.0,9.0,54.0,6.0,11.0,11.0,,5.0,,4.0,,,,,,,1.0,,,,,5.0
1159929,1808571,12/21/2012 12:37:02 PM,01/08/2013 12:17:45 PM,01/08/2013 12:17:45 PM,Closed,Case Completed - resolved:,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"92 NUEVA AVE, SAN FRANCISCO, CA, 94134",NUEVA AVE,10.0,Little Hollywood,BAYVIEW,37.712867736816,-122.396842956543,"(37.71286774, -122.39684296)",Phone,,89.0,2.0,9.0,1.0,8.0,10.0,3.0,58.0,3.0,1.0,1.0,,89.0,,9.0,,,,,,,1.0,,,,,89.0
2643981,4975581,08/07/2015 10:01:51 AM,02/06/2017 01:14:02 AM,02/06/2017 01:14:02 AM,Closed,"Case Resolved - On grove - 2 empty basins, all basins are sunken, 7 sq's raised, uneven. On Baker - 33 sq's raised, uneven, 6 empty basins, 1 tree leaning, 1 basin with stump.  - NTR # 1043682,",DPW - Bureau of Street Use and Mapping - G,General Request - PUBLIC WORKS,request_for_service,bsm - request_for_service,"1477 GROVE ST, SAN FRANCISCO, CA, 94117",GROVE ST,5.0,Panhandle,PARK,37.775445224635,-122.440763536683,"(37.77544522, -122.44076354)",Phone,,24.0,7.0,11.0,9.0,11.0,15.0,8.0,29492.0,5.0,10.0,10.0,,24.0,,11.0,,,,,,,1.0,,,,,24.0
4213205,13023726,10/14/2020 07:18:00 PM,10/14/2020 07:37:50 PM,10/14/2020 07:37:50 PM,Closed,Case Resolved - Officer responded to request under CAD # 202882889. Unable to Locate.,Parking Enforcement Dispatch Queue,Parking Enforcement,Blocking_Driveway_Cite_Tow,Black - Jeep - 8GGP744,"1519 LARKIN ST, SAN FRANCISCO, CA, 94109",LARKIN ST,3.0,Polk Gulch,CENTRAL,37.7920161,-122.4195727,"(37.7920161, -122.4195727)",Web,,105.0,4.0,3.0,21.0,10.0,13.0,6.0,28858.0,9.0,21.0,21.0,,105.0,,3.0,,,,,,,1.0,,,,,105.0
2726462,8587823,02/03/2018 09:18:00 AM,02/03/2018 10:18:55 AM,02/03/2018 10:18:55 AM,Closed,Case Resolved - DUPLICATE SERVICE REQUEST,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,"1403 WASHINGTON BLVD, SAN FRANCISCO, CA, 94109",WASHINGTON BLVD,2.0,Presidio National Park,,37.793715,-122.416156,"(37.793715, -122.416156)",Mobile/Open311,http://mobile311.sfgov.org/reports/8587823/photos,16.0,6.0,3.0,21.0,10.0,5.0,1.0,28858.0,1.0,21.0,21.0,,16.0,,3.0,,,,,,,1.0,,,,,16.0
